java-runtime-common 3-5
jbigkit 2.1-8
jdk-openjdk 23.0.1.u0-2
jdk17-openjdk 17.0.13.u11-1
jdk8-openjdk 8.432.u05-1
jre8-openjdk 8.432.u05-1
jre8-openjdk-headless 8.432.u05-1
json-c 0.18-1
json-glib 1.10.6-1
karchive 6.9.0-1
kauth 6.9.0-1
kbd 2.7.1-1
kbookmarks 6.9.0-1
kcmutils 6.9.0-1
kcodecs 6.9.0-1
kcolorscheme 6.9.0-1
kcompletion 6.9.0-1
kconfig 6.9.0-1
kconfigwidgets 6.9.0-1
kcoreaddons 6.9.0-3
kcrash 6.9.0-1
kdbusaddons 6.9.0-1
kde-cli-tools 6.2.5-1
kdesu 6.9.0-1
keyutils 1.6.3-3
kglobalaccel 6.9.0-1
kguiaddons 6.9.0-3
kguiaddons5 5.116.0-1
ki18n 6.9.0-2
kiconthemes 6.9.0-1
kio 6.9.0-1
kirigami 6.9.0-1
kitemviews 6.9.0-1
kjobwidgets 6.9.0-1
kmod 33-3
knotifications 6.9.0-3
kparts 6.9.0-1
kpty 6.9.0-1
krb5 1.21.3-1
kservice 6.9.0-1
kwallet 6.9.0-1
kwidgetsaddons 6.9.0-4
kwindowsystem 6.9.0-1
kxmlgui 6.9.0-3
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
lcms2 2.16-1
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:668-1
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.11.1-3
lib32-dbus 1.16.0-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.6.4-1
lib32-gamemode 1.8.2-1
lib32-gcc-libs 14.2.1+r134+gab884fffe3fc-2
lib32-glibc 2.40+r16+gaa533d58ff-2
lib32-icu 75.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.71-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.64.0-1
lib32-libnghttp3 1.7.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.0-2
lib32-libtasn1 4.19.0-2
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.2-1
lib32-libx11 1.8.10-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.37-1
lib32-libxcrypt-compat 4.4.37-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxml2 2.13.5-1
lib32-libxshmfence 1.3.2-2
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:18.1.8-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:24.3.3-1
lib32-ncurses 6.5-1
lib32-nspr 4.36-1
lib32-nss 3.107-1
